"id","yale_id","note_count","remark_abbr","remark"
178,193,1,"VAR:","Gamma Cas, 4.50 - 4.62V, amp. 0.3:R, 1.1679d."
179,194,1,"G:  ","Wolf 630 group."
180,196,1,"D:  ","AB CPM."
181,196,1,"G:  ","Sirius group?"
182,199,1,"D:  ","Primary F5III, secondary F6IV."
183,203,1,"G:  ","Wolf 630 group."
184,205,1,"SB: ","Period at least 2500d."
185,208,1,"SB: ","33.75d, K 16.3k/s, V0 -4.1k/s, asini 6.90."
186,210,1,"S:  ","Also classified G9II-III."
187,211,1,"VAR:","Lb?, 5.32 - 5.45V."
188,214,1,"G:  ","Hyades group."
189,214,1,"VAR:","Delta Sct? 5.99 - 6.03V, 0.1040d."
190,215,1,"D:  ","AB CPM.  Companions probably optical."
191,215,1,"S:  ","CaII emission."
192,215,1,"SB: ","Component A of visual system, 17.7692d, K 26.3k/s, V0 -23.7k/s, asini 6.43.  Possible X-ray source 3U0032+24."
193,215,1,"VAR:","Component A of visual system, EB 3.92 - 4.14V, 17.7695d."
194,217,1,"G:  ","Hyades group."
195,219,1,"D:  ","AB 3.45 G3V, 7.51 K4Ve, 480y, a = 11.994"".  Combined mag., colors.  Component B, vsini =<25k/s.  Companions C-H optical."
196,219,2,"D:  ","A possible invisible companion with period about 40y.  Component B, 7.51V, +1.39(B-V), +1.03(U-B)."
197,219,1,"DYN:","0.177""."
198,219,1,"N:  ","Achird, according to Becvar; Allen says ""unnamed""."
199,219,1,"RV: ","Component B, +11k/s."
200,219,1,"SB: ","ADS 671A, 9.209d, K 2.2k/s, V0 +9.2k/s, asini 0.254.  More recent observations by Morbey and Griffin (1987) and"
201,219,2,"SB: ","by McMillan and Smith (1988) show constant velocity; thus, the SB nature of the system is questioned."
202,224,1,"R:  ","Occultation diam. = 0.0042""."
203,225,1,"D:  ","The two companions probably optical."
204,225,1,"SB: ","13.824581d, K 57.53k/s, V0 +4.06k/s, msin3i 1.041, asini 10.9; vsini both components <17k/s."
205,226,1,"SB: ","4.2828d, K 75.6k/s, V0 -23.9k/s, msin3i 1.49, asini 4.45; vsini of secondary 11k/s."
206,227,1,"D:  ","CPM."
207,227,1,"G:  ","Eta Cep group."
208,230,1,"C:  ","Colors for blend with HR 231.  Mag. for blend, 5.56V."
209,230,1,"D:  ","CPM with HR 231."
210,230,1,"DYN:","0.004""."
211,230,1,"G:  ","Hyades group."
212,231,1,"D:  ","CPM with HR 230."
213,231,1,"DYN:","0.004""."
214,231,1,"G:  ","Hyades group."
215,233,1,"S:  ","Also classified G0III + A5V."
216,233,1,"SB: ","225.739k/s, K 8.9k/s, V0 +1.76k/s, asini 27.5; vsini of secondary 50k/s."
217,233,1,"VAR:","5.33 - 5.39V."
218,234,1,"S:  ","Possible subdwarf.  CrII, MgII, TiII, SrII, EuII but no trace of SiII."
219,234,1,"VAR:","Alpha CV 6.10 - 6.14V, 2.156d.  Also var. K-line, same period."
220,235,1,"G:  ","Sirius group; UMa stream."
221,235,1,"VAR:","5.15 - 5.24V."
222,237,1,"G:  ","Cas OB7."
223,237,1,"VAR:","6.04 - 6.11V."
224,238,1,"S:  ","Also classified F5III."
225,238,1,"VAR:","Delta Sct 6.34 - 6.37V, 0.1360d; sinusoidal components 0.0526 and 0.0396d."
226,239,1,"VAR:","Delta Sct 5.20 - 5.25V, 0.055d."
227,242,1,"VAR:","Delta Sct 5.17 - 5.27V, 0.110d."
228,243,1,"G:  ","Wolf 630 group."
229,244,1,"S:  ","Ultraviolet deficiency."
230,244,1,"SB: ","ADS 721A, 127.951d, K 1.6k/s, V0 +22.5k/s, asini 2.35.  Orbit questioned by Morbey and Griffin (1987, ApJ,"
231,244,2,"SB: ","317, 343); proposed period rejected with certainty.  Unresolved by speckle interferometry."
232,245,1,"D:  ","Optical. Combined mag. and color."
233,247,1,"D:  ","Fixed sep."
234,250,1,"D:  ","AB CPM.  Component B, dG4."
235,251,1,"D:  ","Primary F4IV, secondary G0V."
236,251,1,"RV: ","Comp. B -9.4k/s."
237,253,1,"D:  ","AB optical."
238,254,1,"D:  ","AB 6.23 A1V, 6.89 A4V, 360.4y, a = 0.700"".  Combined mag., colors."
239,254,1,"DYN:","0.011""."
240,257,1,"VAR:","Lb? 5.60 - 5.80V."
241,258,1,"D:  ","AB 6.02 G6IV, 6.41 K6IV, 164.68y, a = 1.014"".  Resolved by speckle interferometry 1983.94, sep. 0.68"".  Combined"
242,258,2,"D:  ","mag., colors."
243,263,1,"G:  ","Wolf 630 group."
244,264,1,"C:  ","IR excess."
245,264,1,"D:  ","AB CPM."
246,264,1,"G:  ","Cas-Tau OB1; exciting star of HII region S185; in reflection nebula; two peculiar elephant trunks of very different"
247,264,2,"G:  ","colors:  IC 59 and IC 63."
248,264,1,"M:  ","IRAS observations confirm IR excess and yield simple blackbody temperature of 6750 +/- 100K."
249,264,1,"S:  ","First emission-line star discovered, by Angelo Secchi in 1866.  IRAS satellite observations confirm IR excess and yield"
250,264,2,"S:  ","blackbody temperature of about 6750K."
251,264,1,"VAR:","ADS 782A, Gamma Cas 1.6 - 3.0v.  Spectrum and color vary.  Expanding circumstellar shell.  High-velocity variable"
252,264,2,"VAR:","mass loss.  Variable hydrogen emission, 0.7d.  Variable SiIV, CIV, polarization.  Variable X-ray source.  H alpha"
253,264,3,"VAR:","indicates rotating disk-like envelope."
254,265,1,"G:  ","Wolf 630 group."
255,265,1,"S:  ","Possible BaII star."
256,266,1,"D:  ","AB 6.0 B8V, 6.6 B9V, 83.4y, a = 0.252"".  Total mass, 6 solar.  Primary is a mercury-manganese star."
257,266,1,"SB: ","ADS 784A, 4.2424d, K 88.2k/s, V0 -3.2k/s, msin3i 1.65, asini 4.57."
258,269,1,"D:  ","All components optical."
259,271,1,"G:  ","UMa stream."
260,271,1,"SB: ","115.71d, K 17.9k/s, V0 -10.3k/s, msin3i 0.338, asini 28.5; both components vsini <17k/s."
261,276,1,"G:  ","UMa stream."
262,280,1,"S:  ","Weak helium-line star.  Also classified B8IIIp.  Circumstellar cloud."
263,280,1,"SB: ","About 100y, K 6k/s, asini 4000 solar radii.  Companion suspected of being black hole."
264,280,1,"VAR:","Possible periodicities:  19.4, 16.7, 0.95, 0.49d."
265,282,1,"D:  ","Visual binary with HR 283."
266,283,1,"D:  ","Visual binary with HR 282.  Color for blended images."
267,284,1,"VAR:","Lb 5.95 - 6.12V."
268,285,1,"N:  ","2 UMi in Cep."
269,289,1,"D:  ","6.7 A3n, 8.0, 450y, a = 0.816""."
270,289,1,"DYN:","0.010""."
271,289,1,"G:  ","Hyades group."
272,289,1,"SB: ","ADS 862A."
273,290,1,"G:  ","UMa stream."
274,290,1,"S:  ","Also classified A3/A7/A9."
275,291,1,"SB: ","81.12d, K 54.3k/s, V0 +10.4k/s, msin3i 0.547, asini 26.4."
276,294,1,"D:  ","Suspected occultation double, 5.2, 5.2v, sep. 0.25""."
277,301,1,"D:  ","AB binary.  Component B, G8V."
278,302,1,"G:  ","Cas-Tau OB1."
279,304,1,"VAR:","Amp. 0.10V."
280,308,1,"D:  ","Visual pair optical."
281,308,1,"S:  ","Luminosity variously classified as II, III, V."
282,308,1,"SB: ","ADS 889A."
283,309,1,"G:  ","Hyades moving group."
284,310,1,"D:  ","CPM with HR 311.  Third component optical."
285,311,1,"D:  ","CPM with HR 310."
286,313,1,"D:  ","CPM with HR 314.  Faint companions probably optical."
287,313,1,"G:  ","Wolf 630 group."
288,314,1,"D:  ","CPM with HR 313."
289,314,1,"G:  ","Wolf 630 group."
290,315,1,"G:  ","Sirius group; UMa stream."
291,316,1,"G:  ","Normal iron content raises questions regarding membership in Arcturus moving group."
292,317,1,"SB: ","Small amp. RV, equal comp."
293,318,1,"D:  ","AB optical."
294,321,1,"D:  ","A* 5.15 G5Vp, 21.43y, a = 0.186"", mag. diff 2V, sep. 1.4"".  Subdwarf with five visual and one astrometric components."
295,321,1,"N:  ","Marfak.  Name shared with HR 343."
296,321,1,"S:  ","Metal deficient star."
297,321,1,"SB: ","8393d, K 2.8k/s, V0 -98.0k/s, asini 310.  Masses 0.8 and 0.3? solar.  Resolved by speckle interferometry."
298,322,1,"D:  ","Mag. and color blend of close pair 4.2, 4.2v.  C, 11.5v at 57""."
299,322,1,"DYN:","0.013""."
300,323,1,"S:  ","Also classified B9IV Mn."
301,323,1,"SB: ","10.6157d, K 52.21k/s, V0 +17.89k/s, msin3i 0.540, asini 7.43."
302,324,1,"G:  ","Hyades group."
303,327,1,"G:  ","Hyades moving group."
304,330,1,"D:  ","Companions probably optical."
305,330,1,"G:  ","UMa stream."
306,330,1,"VAR:","Delta Sct?"
307,331,1,"D:  ","5.8 A2IV, 6.2 A4IV, 28.5y, a = 0.209"".  Combined mag., colors."
308,334,1,"N:  ","Dheneb; Deneb; Deneb Algenubi."
309,335,1,"D:  ","4.6 B6IV, 5.5 B9V, 371.6y, a = 0.447"".  Combined mag., colors.  Masses 16 and 10 solar.  Resolved by speckle"
310,335,2,"D:  ","interferometry 1983.93, sep. 0.64""."
311,335,1,"DYN:","0.003""."
312,335,1,"S:  ","Also classified B7III, B9IIIe."
313,336,1,"D:  ","Suspected visual double is probably single."
314,337,1,"N:  ","MIRACH; Merach; Mirac; Mirak; (al Mizar)."
315,337,1,"S:  ","Ultraviolet FeII emission.  Also classified B9III."
316,338,1,"D:  ","AB 4.2, 7.0v close binary; vsini of B 87k/s.  C, 7.0 F7V at 6.6"" CPM."
317,338,1,"S:  ","Phosphorus in spectrum."
318,338,1,"SB: ","1.6698d, K 130.6k/s, V0 +19.6k/s, msin3i 3.83, asini 3.00.  Rotation apsides 32.5y.  Secondary of SB,"
319,338,2,"SB: ","vsini 68k/s."
320,338,1,"VAR:","Primary component of visual system.  EA 3.92 - 4.42V, 1.6697664d, i 84.7d."
321,342,1,"VAR:","E?, 5.35 - 5.59V."
322,343,1,"G:  ","Hyades moving group."
323,343,1,"N:  ","Marfak.  Name shared with HR 321."
324,343,1,"SB: ","Unresolved by speckle interferometry."
325,343,1,"VAR:","Delta Sct?"
326,345,1,"VAR:","Cst? 5.50 - 5.60V."
327,347,1,"VAR:","L?, 7.1 - 9.0p."
328,348,1,"D:  ","Unresolved by speckle interferometry: probably single."
329,353,1,"G:  ","Wolf 630 group."
330,356,1,"D:  ","AB CPM.  Component B, 10.25V, +0.79(B-V), +0.29(U-B), G1V."
331,359,1,"VAR:","Delta Sct? 5.93 - 5.98V, 0.05d."
332,360,1,"D:  ","B CPM, 9.11V, +0.92(B-V), +0.25(U-B)."
333,360,1,"SB: ","ADS 995A."
334,361,1,"D:  ","CPM with HR 362 at 24"".  ADS 996A is close occultation double, 6.3, 6.3v, 0.05"":.  Component B, HR 362 is SB; C, 12.2 is"
335,361,2,"D:  ","1"" from B."
336,361,1,"DYN:","0.012""."
337,361,1,"SB: ","ADS 996A, RV var. by 45k/s."
338,362,1,"D:  ","CPM with HR 361."
339,362,1,"DYN:","0.012""."
340,362,1,"SB: ","ADS 996B, 6.7, 8.7v, sep. 0.001"", 9.0750d, K 51.1k/s, V0 +10.4k/s, asini 6.37."
341,363,1,"G:  ","Sigma Pup group."
342,363,1,"S:  ","Also classified S3 Zr1 Ti3."
343,363,1,"VAR:","SRb?, amp. 0.15V."
344,364,1,"S:  ","HgMn star."
345,364,1,"VAR:","Alpha CV?, 5.94 - 5.98V."
346,365,1,"M:  ","Mag. 7.38V and colors from Nicolet.  However, HD gives 6.38ptm, 7.38ptg.  Abt and Biggs RV Bibliography quotes 6.20V;"
347,365,2,"M:  ","and AGK3 has 7.7ptg."
348,366,1,"D:  ","CPM.  Component B, G7V."
349,368,1,"D:  ","Component C is faint diffuse nebula, NGC 450."
350,370,1,"G:  ","Hyades group."
351,371,1,"C:  ","IR source in this approximate position corresponds to a Seyfert galaxy."
352,373,1,"VAR:","RS, 5.35 - 5.58V."
353,377,1,"D:  ","Quadruple system consisting of two close CPM pairs separated by 320"":  CPD -69d45, components AB, 5.1, 7.3, 5"" and"
354,377,2,"D:  ","CPD -69d44, components CD.  AB, 1222.4y, a = 7.64""; CD 7.8 G5, 8.2, 86.2y, a = 1.12""."
355,377,1,"DYN:","0.049""."
356,378,1,"G:  ","Ursa cluster?  UMa stream.  Possible Eggen group, with HR 63, q.v."
357,382,1,"D:  ","ADS 1073, quintuple system:  A = NGC 457 #136; B, 12.3v at 49""; C = NGC 457 #131 = HD 7902, 6.99V, +0.42(B-V),"
358,382,2,"D:  ","-0.38(U-B), B5Ia at 134"", vsini =<25k/s; D, 10.19V, +0.29(B-V), -0.47(U-B) at 179""; E, 10.63V, +0.28(B-V), -0.52(U-B) at"
359,382,3,"D:  ","170""."
360,382,1,"G:  ","In open cluster NGC 457, #136."
361,385,1,"D:  ","BC 7.4, 7.6, 21.5y, a = 0.136"".  Combined spectrum A1V."
362,385,1,"S:  ","Also classified G4:III + A2:V and G5III-IV + A5V."
363,390,1,"N:  ","Adhil."
364,390,1,"SB: ","17.7673d, asini 6.272."
365,391,1,"D:  ","AB 7.1, 7.3v, binary, combined mag. and color.  Components C, 12.8v at 46"" and D, 10.50v at 249"" probably optical."
366,394,1,"D:  ","CPM."
367,394,1,"RV: ","Component B, -6k/s."
368,395,1,"G:  ","Hyades group."
369,395,1,"SB: ","35.371d, K 39.0k/s, V0 +13.3k/s, msin3i 0.440, asini 14.7; vsini same for both components 15k/s."
370,399,1,"D:  ","ADS 1129B, 13.5v, 3"" CPM with A. Component C optical, 9.18V, +0.66 (B-V), +0.34(U-B), Am."
371,400,1,"G:  ","Wolf 630 group."
372,401,1,"VAR:","Delta Sct 6.20 - 6.22V, 0.070d."
373,402,1,"D:  ","Probably optical."
374,403,1,"C:  ","Color excess E(B-V) = +0.27."
375,403,1,"D:  ","Unresolved by speckle interferometry 1981.69."
376,403,1,"G:  ","Hyades group."
377,403,1,"N:  ","Ruchbah; Rucba; Rucha; also Ksora in Becvar."
378,403,1,"S:  ","Also classified A5V."
379,403,1,"VAR:","EA? 2.68 - 2.76V, 759d."
380,404,1,"D:  ","6.6 F3V, 6.8 F4V, 16.14y, a = 0.1884"".  Combined mag. and color."
381,404,1,"SB: ","16.14y, K 40.1k/s, asini 1270.  Speckle interferometric sep. 0.378"" (1980.94)."
382,405,1,"G:  ","Wolf 630 group."
383,407,1,"SB: ","5.4291d, K 14.5k/s, V0 -15.9k/s, asini 1.00."
384,410,1,"G:  ","Hyades moving group."
385,414,1,"G:  ","Wolf 630 group."
386,415,1,"G:  ","Hyades moving group."
387,417,1,"D:  ","AB binary, B 11.7v at 2""; CD 10.4, 10.4 sep. 4.9"" at 120"" from A."
388,417,1,"G:  ","Hyades moving group."
389,418,1,"D:  ","Optical."
390,419,1,"D:  ","Binary.  Companion 9.38V, +0.19(B-V), +0.00(U-B), A8V, vsini 48k/s."
391,419,1,"DYN:","0.016""."
392,422,1,"G:  ","Member of the local association (Pleiades group); in neutral hydrogen region."
393,422,1,"RV: ","Two published values of vsini are 35 and 135k/s."
394,422,1,"S:  ","Shell star."
395,423,1,"D:  ","CPM."
396,423,1,"VAR:","SRb 9.1 - 12.8p, 370d."
397,424,1,"D:  ","A* 2.0 var. F8Ib, 30.46y, a = 0.038"".  AB physical; B, 8.20V, +0.49(B-V), +0.16(U-B), F3V, 0.0 color excess,"
398,424,2,"D:  ","vsini =<60k/s; C, 13v at 43""; D, 14v at 83""."
399,424,1,"DYN:","0.006""."
400,424,1,"G:  ","Red star Pleiades group."
